e0_n,e0_F_d_in,e0_p,time_hours
6154.476316507397,6.270622608036167e-08,2999998.372675794,213.24419191919168
6154.4768940262275,5.1858651572986296e-08,2999998.6541872425,216.0499999999997
6154.47737163985,4.288760315197403e-08,2999998.886999918,218.85580808080803
6154.477766630905,3.54684599738112e-08,2999999.079538236,221.6616161616161
6154.478093292302,2.9332757252859813e-08,2999999.238769276,224.46742424242416
6154.4783634444175,2.425847211428836e-08,2999999.370454876,227.27323232323224
6154.478586862814,2.006198954667136e-08,2999999.479360133,230.07904040404026
6154.478771633761,1.6591424565064648e-08,2999999.5694266977,232.88484848484833
6154.478924440801,1.372123981200657e-08,2999999.6439124616,235.69065656565638
6154.479050812213,1.1347597180196268e-08,2999999.7055121837,238.49646464646446
6154.4791553235955,9.384552947557192e-09,2999999.7564562387,241.30227272727248
6154.479241754503,7.761115471837565e-09,2999999.798586969,244.10808080808056
6154.4793132336945,6.418517061133474e-09,2999999.833429488,246.9138888888886
6154.4793723482435,5.308164579667359e-09,2999999.862244864,249.71969696969694
6154.479421236446,4.389894224800856e-09,2999999.886075409,252.525505050505
6154.479461666984,3.630484727997281e-09,2999999.905783268,255.33131313131304
6154.47949510343,3.002445748102214e-09,2999999.922081858,258.1371212121211
6154.4795227556915,2.4830514890389574e-09,2999999.9355609473,260.94292929292914
6154.479545624378,2.0535074306011186e-09,2999999.9467082843,263.74873737373724
6154.479564012707,1.708118235370202e-09,2999999.9556716722,266.5545454545453
6154.479579744327,1.4126301560333224e-09,2999999.9633400473,269.36035353535334
6154.479592754527,1.1682587133960784e-09,2999999.969681867,272.1661616161614
6154.479603215812,9.71763706522836e-10,2999999.974781219,274.97196969696944
6154.479611917562,8.083181635502631e-10,2999999.9790228847,277.77777777777777
